old.name,corrected.name
Date de pêche,date
Code station Sandre,code_sandre
Code station Onema,code_onema
Localisation,localisation
Abscisse Station(Lambert 93),long_station_lmbrt93
Ordonn_e Station(Lambert 93),lat_station_lmbrt93
Ordonn_e (Lambert II),long_lmbrtII
Ordonn_e (Lambert II),lat_lmbrtII
Code point),code_point
Abscisse Point(Lambert 93),long_point_lmbrt93
Abscisse Point(Lambert 93),lat_point_lmbrt93
Num_ro de l'op_ration,id_operation
D_partement,departement
Code Insee,code_insee
Nom de la commune,commune
Code hydrographique g_n_rique du cours d'eau,code_hydro_riviere
Nom usuel du cours d'eau,nom_riviere
Surface m_,surface
Nom usuel de l'espèce,nom_espece
Code Onema de l 'espèce,code_espece
Effectif (ind.),nb_ind
Masse (g),masse_ind
Densite en nombre(ind./100 m_),densite_ind
Densit_ en masse (g/100 m_),densite_masse
Nombre de passage,nb_passage
Methode de Prospection,methode_prospection
Moyen de Prospection,moyen_prospection
